,age,are_you_datascientist,company_size,country_live,employment_status,first_learn_about_main_ide,how_often_use_main_ide,ide_main,is_python_main,job_team,main_purposes,missing_features_main_ide,nps_main_ide,python_years,python3_version_most,several_projects,team_size,use_python_most,years_of_coding,python3_ver
37698,50,False,11,Denmark,Fully employed by a company / organization,I don't remember,Daily,NotePad++,"No, I use Python as a secondary language",Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_5 or lower,"Yes, I work on many different projects",3,Software prototyping,6.0,3.5
37700,21,False,2,Iran,Fully employed by a company / organization, Online learning platform / Online course,Daily,PyCharm Community Edition,Yes,Work in a team,For work,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",8,Web development,1.0,3.7
37706,21,False,501,Germany,Fully employed by a company / organization,School / University,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Software prototyping,1.0,3.7
37709,30,False,5000,Japan,Fully employed by a company / organization,Search engines,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",7.0,6.0,Python 3_7,"No,  I only work on one project",4,Data analysis,3.0,3.7
37711,40,False,51,Sweden,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,8.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",8,Data analysis,11.0,3.7
37712,30,True,51,Greece,Fully employed by a company / organization,Search engines,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",3,Data analysis,3.0,3.8
37715,21,False,2,United Arab Emirates,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_9,"Yes, I work on one main and several side projects",2,Programming of web parsers / scrapers / crawlers,1.0,3.9
37718,30,False,51,Brazil,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,6.0,3.7
37720,21,False,51,China,Fully employed by a company / organization, Online learning platform / Online course,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_6,"Yes, I work on many different projects",2,Web development,1.0,3.6
37724,50,False,501,United Kingdom,Fully employed by a company / organization,Other,Weekly,PyCharm Community Edition,"No, I use Python as a secondary language",Work in a team,Both for work and personal,Yes – Please list:,8.0,11.0,Python 3_8,"Yes, I work on many different projects",2,Software prototyping,11.0,3.8
37730,21,False,2,Italy,Fully employed by a company / organization,Search engines,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,1.0,3.7
37733,21,False,51,Romania,Fully employed by a company / organization, Online learning platform / Online course,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_6,"Yes, I work on one main and several side projects",2,DevOps / System administration / Writing automation scripts,1.0,3.6
37734,21,False,501,India,Fully employed by a company / organization,Search engines,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_6,"Yes, I work on many different projects",5,Data analysis,3.0,3.6
37735,30,False,11,Russian Federation,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,11.0,Python 3_7,"Yes, I work on one main and several side projects",8,Web development,11.0,3.7
37736,21,Other,11,India,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,8.0,1.0,Python 3_6,"Yes, I work on many different projects",2,Other,1.0,3.6
37739,21,True,11,Tunisia,Fully employed by a company / organization,Search engines,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",2,Machine learning,1.0,3.7
37752,21,True,51,Belarus,Fully employed by a company / organization,Social network,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,1.0,3.7
37769,40,False,51,Netherlands,Fully employed by a company / organization,School / University,Daily,Vim,Yes,Work in a team,Both for work and personal,Yes – Please list:,9.0,11.0,Python 3_8,"Yes, I work on one main and several side projects",2,Network programming,11.0,3.8
37783,21,False,1001,Norway,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,10.0,3.0,Python 3_7,"Yes, I work on many different projects",4,Data analysis,3.0,3.7
37785,21,False,11,Other country,Fully employed by a company / organization, Online learning platform / Online course,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,1.0,3.8
37788,21,False,5000,India,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",9.0,1.0,Python 3_8,"No,  I only work on one project",6,Unknown,1.0,3.8
37791,30,False,5000,Australia,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_6,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,11.0,3.6
37796,21,False,2,Belarus,"Self-employed (a person earning income directly from one's own business, trade, or profession)",I don't remember,Daily,Sublime Text,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,1.0,3.8
37801,30,False,2,Israel,Fully employed by a company / organization,I don't remember,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_7,"Yes, I work on one main and several side projects",2,Data analysis,11.0,3.7
37803,21,False,51,France,Fully employed by a company / organization, Online learning platform / Online course,Daily,Vim,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,3.0,Python 3_6,"Yes, I work on many different projects",3,Unknown,3.0,3.6
37818,21,False,501,Ukraine,Fully employed by a company / organization, Online learning platform / Online course,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_8,"Yes, I work on many different projects",13,Web development,3.0,3.8
37821,30,False,51,Russian Federation,Fully employed by a company / organization, Online learning platform / Online course,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",9.0,1.0,Python 3_8,"No,  I only work on one project",2,Web development,1.0,3.8
37827,21,True,11,Sweden,Fully employed by a company / organization,Search engines,Daily,JupyterLab,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Data analysis,1.0,3.8
37838,40,False,5000,Spain,Fully employed by a company / organization,Search engines,Weekly,Other,Yes,Work on your own project(s) independently,"For personal, educational  or side projects",Yes – Please list:,6.0,11.0,Python 3_8,"Yes, I work on one main and several side projects",7,Computer graphics,6.0,3.8
37840,30,True,51,Germany,Fully employed by a company / organization,I don't remember,Weekly,Atom,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on many different projects",3,Web development,3.0,3.8
37845,30,True,2,Italy,"Self-employed (a person earning income directly from one's own business, trade, or profession)",School / University,Daily,Emacs,Yes,Work in a team,For work,"No, it has all the features I need",10.0,6.0,Python 3_9,"No,  I only work on one project",2,Data analysis,3.0,3.9
37853,21,False,2,Iran,Fully employed by a company / organization, Online learning platform / Online course,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",2,Web development,1.0,3.6
37858,21,True,51,India,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,1.0,Python 3_8,"No,  I only work on one project",2,Unknown,1.0,3.8
37860,21,True,51,Israel,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Data analysis,6.0,3.7
37861,21,True,1001,Turkey,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_6,"Yes, I work on many different projects",2,Programming of web parsers / scrapers / crawlers,3.0,3.6
37863,21,True,5000,India,Fully employed by a company / organization,Friend / Colleague,Weekly,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",7.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Educational purposes,1.0,3.7
37865,40,False,2,Russian Federation,Fully employed by a company / organization,Search engines,Weekly,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",2,Software testing / Writing automated tests,11.0,3.8
